"cd_mun","cases","year_month"
"150010",0,"2019-03"
"150080",0.19,"2019-03"
"150110",0,"2019-03"
"150120",0,"2019-03"
"150130",0,"2019-03"
"150140",0.27,"2019-03"
"150150",1.59,"2019-03"
"150178",0,"2019-03"
"150210",0,"2019-03"
"150309",0,"2019-03"
"150330",0,"2019-03"
"150380",5.07,"2019-03"
"150400",0,"2019-03"
"150442",0,"2019-03"
"150460",0,"2019-03"
"150470",0,"2019-03"
"150506",22.39,"2019-03"
"150520",0,"2019-03"
"150635",4.74,"2019-03"
"150795",0.94,"2019-03"
"150810",3.52,"2019-03"
"150010",0.63,"2019-02"
"150080",0.38,"2019-02"
"150110",0,"2019-02"
"150120",0,"2019-02"
"150130",0,"2019-02"
"150140",0.74,"2019-02"
"150150",0,"2019-02"
"150178",0,"2019-02"
"150210",0,"2019-02"
"150309",0,"2019-02"
"150330",0,"2019-02"
"150380",3.38,"2019-02"
"150400",0,"2019-02"
"150442",0,"2019-02"
"150460",0,"2019-02"
"150470",6.09,"2019-02"
"150506",27.66,"2019-02"
"150520",0,"2019-02"
"150635",4.74,"2019-02"
"150795",0.94,"2019-02"
"150810",2.64,"2019-02"
"150010",0,"2019-01"
"150080",0.57,"2019-01"
"150110",0,"2019-01"
"150120",0,"2019-01"
"150130",2.41,"2019-01"
"150140",0.13,"2019-01"
"150150",0,"2019-01"
"150178",0,"2019-01"
"150210",1.45,"2019-01"
"150309",0,"2019-01"
"150330",0,"2019-01"
"150380",3.38,"2019-01"
"150400",0,"2019-01"
"150442",0,"2019-01"
"150460",0,"2019-01"
"150470",36.54,"2019-01"
"150506",23.71,"2019-01"
"150520",0,"2019-01"
"150635",4.74,"2019-01"
"150795",4.7,"2019-01"
"150810",0,"2019-01"
